Fecha,Zona,CantidadTotal
23/04/2018,URBANA,46
24/04/2018,RURAL,7
24/04/2018,URBANA,73
25/04/2018,RURAL,7
25/04/2018,URBANA,53
26/04/2018,RURAL,4
26/04/2018,URBANA,58
27/04/2018,RURAL,2
27/04/2018,URBANA,70
28/04/2018,RURAL,12
28/04/2018,URBANA,65
29/04/2018,RURAL,4
29/04/2018,URBANA,53
30/04/2018,RURAL,5
30/04/2018,URBANA,58
01/05/2018,RURAL,8
01/05/2018,URBANA,65
02/05/2018,RURAL,8
02/05/2018,URBANA,63
03/05/2018,RURAL,4
03/05/2018,URBANA,67
04/05/2018,RURAL,7
04/05/2018,URBANA,47
05/05/2018,RURAL,7
05/05/2018,URBANA,61
06/05/2018,RURAL,12
06/05/2018,URBANA,44
07/05/2018,RURAL,7
07/05/2018,URBANA,62
08/05/2018,RURAL,6
08/05/2018,URBANA,57
09/05/2018,RURAL,9
09/05/2018,URBANA,62
10/05/2018,RURAL,6
10/05/2018,URBANA,52
11/05/2018,RURAL,8
