name,Fecha,CantidadTotal
DelitosSexuales,27/07/2017,93
DelitosSexuales,28/07/2017,91
DelitosSexuales,29/07/2017,63
DelitosSexuales,30/07/2017,81
DelitosSexuales,31/07/2017,91
DelitosSexuales,01/08/2017,190
DelitosSexuales,02/08/2017,93
DelitosSexuales,03/08/2017,81
DelitosSexuales,04/08/2017,106
DelitosSexuales,05/08/2017,69
DelitosSexuales,06/08/2017,66
DelitosSexuales,07/08/2017,61
DelitosSexuales,08/08/2017,106
DelitosSexuales,09/08/2017,95
DelitosSexuales,10/08/2017,110
DelitosSexuales,11/08/2017,92
DelitosSexuales,12/08/2017,77
DelitosSexuales,13/08/2017,73
DelitosSexuales,14/08/2017,114
DelitosSexuales,15/08/2017,133
DelitosSexuales,16/08/2017,91
DelitosSexuales,17/08/2017,96
DelitosSexuales,18/08/2017,119
DelitosSexuales,19/08/2017,66
DelitosSexuales,20/08/2017,80
DelitosSexuales,21/08/2017,72
DelitosSexuales,22/08/2017,111
DelitosSexuales,23/08/2017,123
DelitosSexuales,24/08/2017,115
DelitosSexuales,25/08/2017,91
DelitosSexuales,26/08/2017,56
DelitosSexuales,27/08/2017,72
DelitosSexuales,28/08/2017,100
DelitosSexuales,29/08/2017,86
DelitosSexuales,30/08/2017,96
DelitosSexuales,31/08/2017,94
DelitosSexuales,01/09/2017,171
DelitosSexuales,02/09/2017,65
DelitosSexuales,03/09/2017,84
DelitosSexuales,04/09/2017,87
DelitosSexuales,05/09/2017,120
DelitosSexuales,06/09/2017,111
DelitosSexuales,07/09/2017,90
DelitosSexuales,08/09/2017,112
DelitosSexuales,09/09/2017,70
DelitosSexuales,10/09/2017,65
DelitosSexuales,11/09/2017,69
DelitosSexuales,12/09/2017,90
DelitosSexuales,13/09/2017,79
DelitosSexuales,14/09/2017,108
DelitosSexuales,15/09/2017,129
DelitosSexuales,16/09/2017,89
DelitosSexuales,17/09/2017,98
DelitosSexuales,18/09/2017,107
DelitosSexuales,19/09/2017,107
DelitosSexuales,20/09/2017,114
DelitosSexuales,21/09/2017,108
DelitosSexuales,22/09/2017,93
DelitosSexuales,23/09/2017,58
DelitosSexuales,24/09/2017,83
DelitosSexuales,25/09/2017,98
DelitosSexuales,26/09/2017,81
DelitosSexuales,27/09/2017,78
DelitosSexuales,28/09/2017,96
DelitosSexuales,29/09/2017,84
DelitosSexuales,30/09/2017,70
DelitosSexuales,01/10/2017,136
DelitosSexuales,02/10/2017,125
DelitosSexuales,03/10/2017,91
DelitosSexuales,04/10/2017,94
DelitosSexuales,05/10/2017,82
DelitosSexuales,06/10/2017,72
DelitosSexuales,07/10/2017,80
DelitosSexuales,08/10/2017,69
DelitosSexuales,09/10/2017,101
DelitosSexuales,10/10/2017,129
DelitosSexuales,11/10/2017,74
DelitosSexuales,12/10/2017,82
DelitosSexuales,13/10/2017,82
DelitosSexuales,14/10/2017,58
DelitosSexuales,15/10/2017,106
DelitosSexuales,16/10/2017,65
DelitosSexuales,17/10/2017,108
