Fecha,Zona,CantidadTotal
14/04/2018,RURAL,11
14/04/2018,URBANA,140
15/04/2018,RURAL,20
15/04/2018,URBANA,174
16/04/2018,RURAL,11
16/04/2018,URBANA,171
17/04/2018,RURAL,11
17/04/2018,URBANA,126
18/04/2018,RURAL,12
18/04/2018,URBANA,144
19/04/2018,RURAL,13
19/04/2018,URBANA,145
20/04/2018,RURAL,8
20/04/2018,URBANA,153
21/04/2018,RURAL,8
21/04/2018,URBANA,96
22/04/2018,RURAL,12
22/04/2018,URBANA,141
23/04/2018,OTRAS,1
23/04/2018,RURAL,10
23/04/2018,URBANA,157
24/04/2018,RURAL,5
24/04/2018,URBANA,132
25/04/2018,RURAL,17
25/04/2018,URBANA,145
26/04/2018,RURAL,5
26/04/2018,URBANA,134
27/04/2018,RURAL,8
27/04/2018,URBANA,110
28/04/2018,RURAL,15
28/04/2018,URBANA,102
29/04/2018,RURAL,10
29/04/2018,URBANA,97
30/04/2018,RURAL,13
30/04/2018,URBANA,126
01/05/2018,RURAL,10
01/05/2018,URBANA,129
02/05/2018,RURAL,18
02/05/2018,URBANA,150
03/05/2018,RURAL,15
03/05/2018,URBANA,144
04/05/2018,RURAL,5
04/05/2018,URBANA,123
05/05/2018,RURAL,8
05/05/2018,URBANA,104
06/05/2018,RURAL,10
06/05/2018,URBANA,115
07/05/2018,RURAL,6
07/05/2018,URBANA,155
08/05/2018,RURAL,8
08/05/2018,URBANA,137
09/05/2018,RURAL,5
09/05/2018,URBANA,142
10/05/2018,OTRAS,1
10/05/2018,RURAL,6
