Fecha,Zona,CantidadTotal
16/03/2018,RURAL,16
16/03/2018,URBANA,38
17/03/2018,RURAL,12
17/03/2018,URBANA,32
18/03/2018,RURAL,18
18/03/2018,URBANA,46
19/03/2018,RURAL,11
19/03/2018,URBANA,15
20/03/2018,RURAL,8
20/03/2018,URBANA,23
21/03/2018,RURAL,10
21/03/2018,URBANA,28
22/03/2018,RURAL,9
22/03/2018,URBANA,14
23/03/2018,RURAL,11
23/03/2018,URBANA,18
24/03/2018,RURAL,12
24/03/2018,URBANA,32
25/03/2018,RURAL,21
25/03/2018,URBANA,42
26/03/2018,RURAL,16
26/03/2018,URBANA,31
27/03/2018,RURAL,14
27/03/2018,URBANA,23
28/03/2018,RURAL,11
28/03/2018,URBANA,21
29/03/2018,RURAL,16
29/03/2018,URBANA,18
30/03/2018,RURAL,9
30/03/2018,URBANA,15
31/03/2018,RURAL,7
31/03/2018,URBANA,20
01/04/2018,RURAL,14
01/04/2018,URBANA,18
02/04/2018,RURAL,13
02/04/2018,URBANA,24
03/04/2018,RURAL,9
03/04/2018,URBANA,17
04/04/2018,RURAL,15
04/04/2018,URBANA,18
05/04/2018,RURAL,10
05/04/2018,URBANA,20
06/04/2018,RURAL,6
06/04/2018,URBANA,26
07/04/2018,RURAL,13
07/04/2018,URBANA,27
08/04/2018,RURAL,22
08/04/2018,URBANA,46
09/04/2018,RURAL,13
09/04/2018,URBANA,21
10/04/2018,RURAL,11
10/04/2018,URBANA,21
11/04/2018,RURAL,16
11/04/2018,URBANA,16
12/04/2018,RURAL,15
12/04/2018,URBANA,18
13/04/2018,RURAL,7
13/04/2018,URBANA,19
14/04/2018,RURAL,26
14/04/2018,URBANA,26
15/04/2018,RURAL,20
15/04/2018,URBANA,40
16/04/2018,RURAL,10
16/04/2018,URBANA,24
17/04/2018,RURAL,19
17/04/2018,URBANA,21
18/04/2018,RURAL,4
18/04/2018,URBANA,24
19/04/2018,RURAL,6
19/04/2018,URBANA,17
20/04/2018,RURAL,13
20/04/2018,URBANA,23
21/04/2018,RURAL,10
21/04/2018,URBANA,25
22/04/2018,RURAL,24
22/04/2018,URBANA,54
23/04/2018,RURAL,8
23/04/2018,URBANA,23
24/04/2018,RURAL,8
24/04/2018,URBANA,18
25/04/2018,RURAL,14
25/04/2018,URBANA,24
26/04/2018,RURAL,8
26/04/2018,URBANA,22
27/04/2018,RURAL,13
27/04/2018,URBANA,20
28/04/2018,RURAL,11
28/04/2018,URBANA,30
29/04/2018,RURAL,14
29/04/2018,URBANA,27
30/04/2018,RURAL,10
30/04/2018,URBANA,21
01/05/2018,RURAL,5
01/05/2018,URBANA,14
02/05/2018,RURAL,15
02/05/2018,URBANA,18
03/05/2018,RURAL,14
03/05/2018,URBANA,23
04/05/2018,RURAL,5
04/05/2018,URBANA,24
05/05/2018,RURAL,11
05/05/2018,URBANA,18
06/05/2018,RURAL,12
06/05/2018,URBANA,37
07/05/2018,RURAL,11
07/05/2018,URBANA,19
08/05/2018,RURAL,11
08/05/2018,URBANA,13
09/05/2018,RURAL,12
09/05/2018,URBANA,13
10/05/2018,RURAL,6
10/05/2018,URBANA,18
11/05/2018,RURAL,10
